"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"185","NM_021694",706,680,640,689,896,829,831,901,966
"186","NM_001107493",289,408,362,224,233,239,463,564,468
"187","NM_173294",7230,7720,5950,12862,12911,13164,7580,4121,4330
"188","NM_001012065",200,209,198,192,158,178,288,433,484
"189","NM_017093",853,1020,822,1044,1060,978,1133,1111,1220
"190","NM_012693",12802,12607,10890,12035,19466,16747,5455,1958,1705
"191","NM_012787",0,0,0,0,0,0,0,0,0
"192","NM_001100845",1,6,2,3,9,7,6,1,2
"193","NM_001164656",0,0,0,0,0,0,0,0,0
"194","NM_031675",2658,2745,2627,3319,3474,3222,3942,3917,4338
"195","NM_001082549",13,26,11,22,20,10,27,18,10
"196","NM_199087",0,0,0,0,0,0,0,0,0
"197","NM_130824",20,10,15,29,37,34,26,17,24
"198","NM_001191623",38,20,27,18,35,25,24,60,87
"199","NM_001100991",65,55,55,47,45,62,45,73,66
"200","NM_001127579",196,157,140,169,263,198,162,160,173
"201","NM_001098240",437,409,424,340,395,336,417,415,468
"202","NM_144749",7,4,6,5,5,3,11,4,9
"203","NM_172317",7,3,2,5,5,3,1,5,5
"204","NM_001107504",0,0,0,0,0,0,0,0,1
"205","NM_001127599",99,128,134,171,167,148,193,185,238
"206","NM_001009641",493,504,456,517,645,547,614,692,714
"207","NM_001106246",160,170,148,122,155,145,111,167,155
"208","NM_012831",704,759,641,458,512,489,826,768,899
"209","NM_001106248",293,316,286,308,283,260,335,423,377
"210","NM_001100821",36,27,18,9,9,12,21,58,69
"211","NM_001107507",391,445,331,255,242,249,350,504,653
"212","NM_023098",645,661,706,1455,2006,1796,1435,935,1185
"213","NM_001270985",0,2,0,1,0,0,0,1,0
"214","NM_022797",4,4,5,9,14,7,9,8,5
"215","NM_001039665",14,13,4,16,31,15,78,35,103
"216","NM_212521",1,0,0,0,0,0,0,3,0
"217","NM_138529",569,584,756,865,1369,796,1035,1123,998
"218","NM_203334",0,0,0,0,0,0,0,0,0
"219","NM_053427",0,0,0,0,0,0,0,0,0
"220","NM_001107518",292,363,291,304,364,319,310,407,404
"221","NM_001107520",546,649,723,600,767,552,766,913,847
"222","NM_001271493",9,10,1,25,7,18,5,6,2
"223","NM_017295",0,0,0,0,0,0,0,0,0
"224","NM_024370",0,0,0,0,0,1,0,0,0
"225","NM_001191837",386,381,423,353,330,327,423,490,468
"226","NM_001141935",10,4,7,6,3,5,6,3,59
"227","NM_012832",0,0,0,0,0,0,0,0,0
"228","NM_001037733",0,0,0,0,0,0,0,0,0
"229","NM_031780",0,1,0,2,5,5,0,0,1
"230","NM_001037734",0,0,0,0,0,0,0,0,0
"231","NM_001100846",505,516,481,406,435,362,319,390,299
"232","NM_012999",346,383,318,659,622,569,973,1313,1265
"233","NM_001014020",102,116,105,55,52,75,75,113,111
"234","NM_001108915",54,49,37,57,73,51,55,79,65
"235","NM_001127561",3,4,0,9,12,3,1,1,3
"236","NM_153300",62,52,72,83,95,83,73,44,74
"237","NM_001191624",150,127,89,234,258,230,176,145,199
"238","NM_001108486",304,280,251,288,353,280,380,401,313
"239","NM_001025681",300,258,237,193,278,188,233,249,222
"240","NM_052807",10,6,7,16,7,8,18,20,16
"241","NM_001191625",39,59,39,59,48,42,59,82,69
"242","NM_001107524",4,0,5,3,5,4,5,4,9
"243","NM_001107523",803,852,754,808,726,626,572,691,743
"244","NM_057207",0,0,0,1,2,0,0,3,1
"245","NM_001040186",1,1,1,5,1,0,5,4,7
"246","NM_012811",0,0,0,0,0,0,0,0,0
"247","NM_001106274",0,0,0,0,0,1,0,0,0
"248","NM_001107527",127,150,117,196,197,186,154,163,272
"249","NM_001115039",316,310,261,212,262,225,444,561,560
"250","NM_001191949",21,26,37,2,1,2,2,7,6
"251","NM_001108489",252,224,263,373,377,378,268,426,546
"252","NM_001106272",592,662,515,647,780,629,635,726,732
"253","NM_198767",494,509,415,439,574,533,422,556,424
"254","NM_001106276",1,0,2,0,0,0,1,2,18
"255","NM_001191627",0,0,1,0,0,0,0,0,0
"256","NM_053309",70,94,77,151,123,138,130,208,205
"257","NM_001011932",985,938,802,648,701,622,574,580,654
"258","NM_001107533",18,29,35,52,39,33,44,24,30
"259","NM_001107534",216,184,188,166,181,183,225,376,447
"260","NM_001105749",35,40,28,71,51,78,41,57,57
"261","NM_001170432",248,202,189,197,219,215,148,209,180
"262","NM_012781",1,3,1,8,4,2,0,1,5
"263","NM_001007630",689,734,615,964,912,874,853,834,892
"264","NM_173317",0,0,0,0,0,0,0,0,0
"265","NM_053524",85,77,86,269,359,156,122,18,10
"266","NM_057185",0,5,2,4,4,1,5,3,1
"267","NM_017012",0,0,1,0,0,0,0,0,0
"268","NM_145774",124,149,126,311,378,324,263,167,172
"269","NM_001013897",230,228,196,178,182,191,379,424,501
"270","NM_001108491",90,104,84,170,158,196,54,43,53
"271","NM_001024885",162,168,156,148,158,131,150,193,199
"272","NM_017198",99,94,81,198,178,219,257,279,287
"273","NM_053417",18,23,17,20,35,28,24,33,31
"274","NM_001034921",129,124,142,107,126,125,133,127,167
"275","NM_001108493",65,90,53,85,135,93,57,45,63
"276","NM_153473",79,74,68,76,105,109,124,107,115
"277","NM_130737",0,0,0,0,0,0,0,3,1
"278","NM_012910",28,48,48,52,69,52,55,40,76
"279","NM_017204",11,14,16,12,4,8,11,15,20
"280","NM_080786",1677,1764,1492,3384,3743,2843,2624,2268,1393
