"","SRR1177963","SRR1177964","SRR1177965","SRR1178030","SRR1178040","SRR1178056"
"NM_177481",18.0936511320079,30.6293049880886,14.0228403907146,19.6629959511987,19.9509852683357,8.24843735202115
"NM_031238",199.030162452087,232.272229493005,178.090072962076,311.895797846601,409.364660691037,391.800774221005
"NM_053554",1225.19866236739,1229.00086264705,1221.38939803124,1387.93630041737,1559.13255245142,1424.50513069405
"NM_001013896",1576.73245578926,1951.34197194948,1531.29417066604,1448.9593913004,2837.47346038553,3082.4410384503
"NM_001107536",235.217464716102,255.244208234072,321.123044947365,206.800474659159,321.432540434298,337.361087697665
"NM_001024751",100.80748487833,119.964777870014,100.964450813145,81.3641211773741,123.400538511558,90.7328108722327
"NM_172067",20.6784584365804,15.3146524940443,18.229692507929,37.9699232161079,27.340239071423,20.6210933800529
"NM_001107542",1864.9384702491,1901.56935134383,1838.39437522269,2040.20533852266,2156.92318512118,2368.12636376527
"NM_012713",15.5088438274353,8.93354728819251,14.0228403907146,35.9358201866736,33.9905674942016,27.2198432616698
"NM_001172305",15.5088438274353,10.2097683293629,35.0571009767865,49.4965070495692,38.424119776054,22.2707808504571
"NM_001013193",541.51713030795,495.173763974099,485.190277518726,469.199765456191,568.233617457414,574.091239700672
"NM_001106300",555.733570483099,636.834299544009,609.993556996086,618.367320948043,734.491828026878,665.648894308107
"NM_001108923",316.638894810138,316.502818210249,307.10020455665,229.175607982937,330.299644998003,382.727493133782
"NM_201350",32.3100913071569,59.9823889350068,37.8616690549295,93.5687393539802,66.5032842277858,42.0670304953079
"NM_032073",5.16961460914511,14.0384314528739,7.01142019535731,14.2387212060405,14.7785076061746,19.7962496448508
"NM_134380",1867.52327755367,2505.22190381741,1862.2332038869,3281.68622082076,2997.82026791252,2437.41323752225
"NM_053823",192.568144190655,193.985598257894,185.101493157433,155.269864580156,147.046150681437,72.5862486977861
"NM_001100975",544.101937612523,686.606920149653,782.474493801876,464.453525054177,564.53899055587,536.973271616577
"NM_001024974",170.597282101789,130.174546199377,121.998711399217,130.182593883799,152.957553723907,145.997341130774
"NM_001013152",1306.62009246143,1221.34353640003,1344.79039346953,2263.27863741729,2194.60837951693,2856.43385500493
"NM_001107585",489.820984216499,510.488416468143,443.121756346582,515.306100790036,593.357080387911,578.215458376683
"NM_053773",613.891734835982,557.708594991446,516.040526378298,661.083484566165,531.287348441977,640.078738516842
"NM_001037793",670.757495536578,724.893551384763,800.704186309805,903.819779411997,1038.92908471408,859.487172080604
"NM_013155",246.849097586679,290.978397386842,357.582429963223,52.8866787652932,27.340239071423,19.7962496448508
"NM_001354115",71.0822008757452,38.2866312351107,71.5164859926445,89.5005332951115,79.8039410733429,54.4396865233396
"NM_133400",1095.95829713876,1523.80792315741,1750.05048076118,1057.05554096272,1949.28515325443,1629.06637702418
"NM_017365",811.629493635782,809.124140102007,782.474493801876,599.382359339989,379.068720098379,382.727493133782
"NM_017158",58.1581643528825,108.47878849948,53.2867934847155,4288.56722039076,3566.05388536993,3744.7905578176
"NM_001007148",248.141501238965,239.929555740027,217.354026056077,147.133452462418,186.948121218109,151.771247277189
"NM_001107606",93.0530629646119,136.555651405228,112.182723125717,229.853642326082,243.845375501881,188.064371626082
"NM_001191052",385.136288381311,430.086490874411,380.018974588366,531.578925025511,532.026273822286,499.855303532482
"NM_001047087",4054.27025722205,4174.51902566824,4448.04497193468,3076.91984919103,4813.35992733107,5352.41099772653
"NM_001108457",233.925061063816,181.223387846191,231.376866446791,144.421315089839,179.558867415022,205.386090065327
"NM_030843",21.9708620888667,16.5908735352147,15.4251244297861,22.3751333237779,15.5174329864833,9.89812482242538
"NM_001108901",10.3392292182902,17.867094576385,8.41370423442877,16.2728242354748,20.6899106486445,6.59874988161692
"NM_001107470",306.299665591848,293.530839469182,311.307056673865,275.281943316782,291.875525221949,273.848120087102
"NM_001276762",28.4328803502981,17.867094576385,21.0342605860719,1.35606868628957,2.95570152123492,1.64968747040423
"NM_214458",40.0645132208746,53.601283729155,54.689077523787,21.0190646374883,38.424119776054,34.6434368784888
"NM_001134425",2097.57112766063,2271.67345328324,2010.87531202848,42.0381292749766,584.489975824206,647.502332133661
"NM_024137",277.86678524155,209.300250751939,252.411127032863,65.0912969418993,144.829374540511,123.726560280317
"NM_001106264",200.322566104373,229.719787410664,168.274084688575,191.883719109974,226.111166374472,203.736402594922
"NM_001277694",299.837647330416,205.471587628428,211.744889899791,82.0421555205189,135.962269976806,158.369997158806
"NM_001106270",32.3100913071569,26.8006418645775,37.8616690549295,10.8485494903165,26.6013136911143,21.445937115255
"NM_001002277",105.977099487475,99.5452412112879,143.032971985289,79.3300181479397,94.5824486795175,94.8570295482433
"NM_001029902",277.86678524155,269.282639686946,262.227115306363,718.038369390326,578.578572781736,441.291398333132
"NM_001170575",168.012474797216,174.842282640339,206.135753743505,185.781410021671,166.997135949773,247.453120560635
"NM_001195606",889.173712772959,958.442001918939,695.532883379445,1221.13985200376,744.836783351201,777.002798560393
"NM_001001801",71.0822008757452,57.4299468526661,75.7233381098589,34.579751500384,33.2516421138929,38.7676555544994
"NM_019370",1390.62632986003,1305.57412511728,746.015108786018,2493.81031408652,912.572844681282,1036.82857514906
"NM_053535",831.015548420076,825.715013637222,778.267641684661,1541.85009631124,1355.18914748621,1366.76606922991
"NM_021869",457.510892909342,399.457185886322,384.225826705581,551.241920976709,528.331646920742,528.724834264556
"NM_001107451",23.263265741153,102.097683293629,113.585007164788,131.538662570088,143.351523779894,95.6818732834454
"NM_001044295",11.6316328705765,7.65732624702215,11.2182723125717,10.8485494903165,4.43355228185238,4.12421867601058
"NM_198051",107.269503139761,117.412335787673,133.216983711789,77.9739494616502,95.3213740598263,95.6818732834454
"NM_001100990",25.8480730457255,20.4195366587257,23.8388286642148,44.7502666475558,51.7247766216111,65.1626550809671
"NM_130428",5008.06415260932,5335.88017313327,5226.31261361934,5572.76426630698,4222.21962308409,4684.28757221281
"NM_001107454",23.263265741153,21.6957576998961,15.4251244297861,29.8335110983705,31.0348659729667,44.5415617009142
"NM_001107453",289.498418112126,287.149734263331,255.215695111006,197.986028198277,210.593733387988,214.45937115255
"NM_001040128",725.038448932601,721.064888261252,868.013820185235,644.132625987545,442.61630280493,453.664054361163
"NM_001108462",18.0936511320079,15.3146524940443,30.8502488595722,20.3410302943435,16.2563583667921,13.1974997632338
"NM_139094",873.664868945523,721.064888261252,786.68134591909,593.958084594831,754.442813295214,735.760611800287
"NM_001012061",249.433904891251,187.604493052043,251.008842993792,190.527650423684,204.682330345518,188.889215361284
"NM_181474",205.492180713518,215.681355957791,214.549457977934,170.864654472486,104.92740400384,136.099216308349
"NM_001039343",19.3860547842942,19.1433156175554,8.41370423442877,29.8335110983705,32.5127167335841,19.7962496448508
"NM_012756",1534.08313526381,1434.47245027548,1609.82207685404,1450.31545998669,1827.36246550349,1531.73481627033
"NM_001115021",321.808509419283,349.684565280678,343.559589572508,358.002133180446,445.572004326165,347.259212520091
"NM_001008302",286.913610807553,270.558860728116,246.801990876577,231.209711012371,356.900958689117,350.558587460899
"NM_057128",10.3392292182902,17.867094576385,21.0342605860719,46.1063353338453,25.1234629304968,21.445937115255
"NM_013217",1117.92915922763,1073.30189562427,1197.55056936703,1289.62132066138,1248.04496734145,1235.61591533277
"NM_001107464",435.540030820475,293.530839469182,273.445387618935,38.6479575592527,102.710627862914,89.9079671370306
"NM_001106215",67.2049899188864,39.5628522762811,51.8845094456441,73.2277090596367,31.0348659729667,37.9428118192973
"NM_001169138",74.9594118326041,67.639715182029,56.0913615628585,134.250799942667,109.360956285692,96.5067170186475
"NM_001004198",109.854310444334,119.964777870014,112.182723125717,107.807460560021,127.095165413102,103.105466900264
"NM_001113403",197.7377587998,202.919145546087,194.917481430933,324.100416023207,316.998988152445,270.548745146294
"NM_001135720",6.46201826143138,6.38110520585179,16.8274084688575,10.8485494903165,16.9952837471008,15.6720309688402
"NM_057140",1839.09039720337,1937.3035404966,1909.91086121533,2040.20533852266,1583.51709000161,1587.82419026407
"NM_001107467",71.0822008757452,70.1921572643697,107.975871008503,68.4814686576232,42.8576720579064,47.0160929065206
