"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001008305",837.677081492664,0.778146401994399,0.196678916852622,1.8188100601633e-05,0.000169827719296472
"NM_001109161",192.20239143125,-0.466182950134099,0.184535120624844,0.00566845578135469,0.0210531696644434
"NM_031124",95.6338554407955,0.877390571260992,0.450945935149946,0.00712596594499032,0.0252697404219216
"NM_198738",791.145221935776,1.19434148526636,0.461200310820789,0.000891538200236668,0.00455086150515605
"NM_001013151",91.4565458480177,-1.0517351334627,0.390822400097632,0.000864733077344038,0.00443463206720064
"NM_017272",22262.4938833288,4.56192181855992,0.438985019533363,1.41097589127089e-26,7.38410716431765e-24
"NM_022407",17369.6518913757,2.04687821343056,0.204762405064309,1.20906510305255e-24,5.53651061772815e-22
"NM_001014028",464.33142910589,0.376584747988439,0.137160789230469,0.00385213156807906,0.015439433236028
"NM_031779",20.3017809120473,-0.975973551032192,0.544094403261486,0.00872244483424238,0.0297700834560012
"NM_001191953",209.906489305447,-0.634259726536112,0.310660240081133,0.0111474053066516,0.0361599717591797
"NM_001037197",2106.84171670122,-0.84264478976068,0.216085334460601,2.01110261666411e-05,0.000184954123490699
"NM_001004446",1551.30251674122,-0.452644497911056,0.209981293148582,0.0151085383158037,0.0459062306028982
"NM_001025036",383.923736079239,0.630196017952956,0.277881130055835,0.00687546721463657,0.0246128288888782
"NM_053646",177.914779204336,-0.614571470816858,0.183834491423933,0.000289096165107203,0.00172766006227741
"NM_053758",944.297746899983,0.419637929419509,0.171578908586085,0.00808167979614224,0.0280270309118344
"NM_001108525",556.701443599132,0.4801940471271,0.133197771746908,0.000157257324154204,0.00104997447901257
"NM_040669",952.514769531134,0.433900534763642,0.1680063350536,0.00531458115645633,0.019927412797494
"NM_001106353",3634.83856769758,0.262386969474368,0.112386397278147,0.0156987213066882,0.0473052719274366
"NM_001013905",310.537449822968,0.776868055166369,0.199813676379678,2.39929887227795e-05,0.000215956548782429
"NM_001008349",841.315080452124,1.64697048455394,0.392056418808608,2.01154905324891e-06,2.54688065612967e-05
"NM_001107604",2022.56739462603,0.647261801494625,0.177382405393848,8.53048965084508e-05,0.000636338995959859
"NM_131913",2094.71358931078,0.343832904981621,0.143868757497074,0.0114744397686208,0.036840225841993
"NM_023101",172.018526647457,0.453913036985731,0.206736852667177,0.0139167016806012,0.0428896667049375
"NM_001079705",59.4521060481589,1.40230748610695,0.296660518434871,2.11422260093181e-07,3.66487482401272e-06
"NM_030829",318.219542931123,0.621213017637941,0.23238090971698,0.00239953068116946,0.0104770926444388
"NM_001004217",343.853203990332,0.374180369377789,0.162839027880464,0.0134695680452123,0.0417457847763347
"NM_001012062",2060.79618363524,-0.435924979180629,0.105335554305349,1.97449310144791e-05,0.000182250366584993
"NM_001108902",374.502322932418,-0.534916879590359,0.24937540013436,0.0121782504528334,0.0386148218339986
"NM_001007690",574.304171828397,1.21463930568238,0.168387443066002,7.01856090866847e-14,5.1422656257511e-12
"NM_001126092",844.246261564885,0.77927726612006,0.151555867388513,6.78133256369667e-08,1.35257431715111e-06
"NM_001014157",614.529554580127,0.495295218690037,0.18225924419494,0.00303649207714801,0.0127613950010924
"NM_001004218",613.607190546528,0.512933842091858,0.157795227941885,0.000522438437136188,0.00287511187988318
"NM_053698",689.402216270745,-1.1256542531402,0.304521841202245,2.5537552530761e-05,0.000228176993750458
"NM_001107514",1286.54972466785,-0.667701561942351,0.169667421591214,2.5453587199486e-05,0.000227611817186616
"NM_001099647",378.586117858592,0.476872266522946,0.210521888904426,0.0109913952503912,0.0357594534641205
"NM_001106265",2950.60411618598,0.572144538386686,0.126851394940757,2.62531026496685e-06,3.227310940938e-05
"NM_001191088",12321.1126869369,-0.6603854918828,0.200741920742113,0.000344479134830859,0.00200839559246214
"NM_001011934",1830.44912489799,0.439906790927393,0.147212288960426,0.00153988593757911,0.00720799927800841
"NM_001109136",793.04057179732,-1.12823193262841,0.155798194677878,6.02757383831801e-14,4.50276139420859e-12
"NM_031709",187.789727763581,0.91061210894589,0.201601176373173,1.16305906655205e-06,1.57414028835061e-05
"NR_110684",33.3870188939055,0.81989702238866,0.368242311754629,0.00434987572757087,0.0169642066167508
"NM_001032397",121.514917052201,-1.15473760125647,0.304311760093867,1.75284331554568e-05,0.000164788263796809
"NM_019232",43.8044018890252,-1.45116472644362,1.12300900992122,0.00657631382198334,0.0237664218689894
"NM_001106204",644.512493195449,-0.340591161712478,0.149824305676928,0.0155433768145805,0.0469161524834494
"NM_001108460",213.174157741147,0.621353175168901,0.197524206765477,0.000556375110973703,0.0030375372427228
"NM_001100825",96.9634758067694,0.754670662055949,0.229890230174266,0.000239629991010586,0.00148787209107703
"NM_001107452",1298.69571384172,0.549970982623039,0.114648703065374,6.96356119205875e-07,1.02039383334301e-05
"NM_001108461",103.791780092692,-1.20101739988136,0.404939040697954,0.000294486931128493,0.00175605608958336
"NM_001013144",1847.82899088621,-0.27065921504772,0.110111105913921,0.010999718436625,0.0357759412898811
"NM_053423",472.818936225456,-0.6419777594203,0.18019810072269,0.000118711262821277,0.000835769877261909
"NM_001025000",2141.09172968446,-0.726492158617805,0.368239066156812,0.00981220176391243,0.0326084358589046
"NM_001144860",590.858928841983,0.322721603121893,0.133647250394267,0.0111688608271487,0.036174521589087
"NM_001113371",12.156669291857,3.25027480706302,0.742860189108419,7.61301209306639e-07,1.09799216407874e-05
"NM_001130939",464.924193070295,0.417943032928183,0.14551507683487,0.00234568881301029,0.0102951757408079
