"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001170476",31.774984968284,1.3288295253064,0.536338737810881,0.000440443773577514,0.024217666060433
"NM_022521",9162.42803374257,1.70788822833761,0.249405078569207,3.02204972864209e-13,6.51372598511516e-10
"NM_031543",41371.5073425781,-0.903880739988613,0.31560136425084,0.000180468109048098,0.014274683508171
"NM_001134507",1648.62084095832,-0.497162775449724,0.163867883062293,0.000172294963081722,0.0140712759175804
"NM_001030021",111.996350200685,-0.60211825736726,0.258673080433824,0.000995857310078586,0.0409631840867058
"NM_171992",945.435308294146,-1.22002301254079,0.398880730395679,8.36931893775213e-05,0.00949433159917418
"NM_138911",1135.11559786565,-0.577311080960543,0.158035490744218,1.72007382291753e-05,0.00308285211608553
"NM_031344",11131.5367145261,1.00267121138317,0.287713804019739,2.57373451503578e-05,0.00407899071596185
"NM_130408",62.1351625127856,1.29156005064989,0.455027870617397,0.000167556782610314,0.0140712759175804
"NM_134373",179.41058494896,1.00442091171244,0.374109637274727,0.000277228345219499,0.0187144508782284
"NM_001106355",3883.34661770478,0.531112841149984,0.169264077995636,0.000109779137079529,0.0108540344982209
"NM_001014247",116.884826331449,0.557261392284256,0.239134461501924,0.001063932941233,0.043267944557238
"NM_001134613",27.674356536345,-1.52449577451099,0.54227445692093,0.000187152750005471,0.0144067513343497
"NM_130747",2461.76777866252,-1.14647215590569,0.442216699604812,0.00035806344798608,0.02120247131289
"NM_019291",187.954245620049,1.29286169876993,0.332465392476133,4.40391392781554e-06,0.000988770425001418
"NM_012608",46.0241746057492,-2.90028148396582,0.456848877488851,1.39178802328177e-11,1.36357268426433e-08
"NM_001107657",778.392003466404,-0.505278342425353,0.199741404830084,0.00071184354424842,0.0328782003525323
"NM_001108939",208.362956738256,-0.945638509967021,0.29504954774801,5.80733289292986e-05,0.00745066983179823
"NM_001108941",2215.19986804877,-0.709550732594766,0.25532711100668,0.000258626842759515,0.0178668043873031
"NM_001127524",334.731083091812,-1.857275872687,0.554985289905563,2.84700510446114e-05,0.00432143295926446
"NM_053785",2998.66809599413,-0.52373010937634,0.197074620155854,0.000489352474478316,0.0256007360070525
"NM_022297",2060.55750787113,-0.954258254683076,0.149962325344585,1.08905057226175e-11,1.17366980172649e-08
"NM_134415",273.742210616346,-0.781497496407366,0.260605620431884,0.000125555250647916,0.0118844125858693
"NM_001012177",1390.99406304366,0.605717243952313,0.265246914635555,0.00107946227442667,0.0435706551741431
"NM_001191959",202.300402709921,0.795588939848541,0.278390194773446,0.000193432739985594,0.0147845719065585
"NM_031835",2742.80568887535,1.13233337505988,0.492766424274861,0.0006910169574988,0.0322655491457575
"NM_001134640",168.599103528132,0.625844056941722,0.260877724268898,0.000800821652131813,0.0355162754939282
"NM_001047885",166.966603117094,0.766342168651967,0.255196590310279,0.000129025121158595,0.0118904473301847
